rank,rank_change,app_name,publisher_name,biz_category_sub,value
29,-2.0,궁수의 전설,Habby,액션게임,-3.37
30,-2.0,아이러브커피N,NATRIS,시뮬레이션게임,-6.77
1,,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,0.28
2,,브롤스타즈,Supercell,액션게임,-0.28
3,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,4.84
4,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-0.25
5,1.0,ROBLOX,Roblox Corporation,어드벤처게임,5.07
6,-1.0,바람의나라: 연,NEXON Company,롤플레잉게임,-14.34
7,21.0,Among Us,Innersloth LLC,액션게임,124.98
8,,Minecraft,Mojang,액션게임,5.13
9,-2.0,애니팡4,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-4.52
10,-1.0,Pokémon GO,"Niantic, Inc.",어드벤처게임,3.75
11,-1.0,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-2.22
12,-1.0,클래시 로얄,Supercell,전략게임,1.13
13,-1.0,클래시 오브 클랜,Supercell,전략게임,-0.1
14,,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,2.47
15,-2.0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,0.85
16,-1.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,2.35
17,5.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,9.54
18,2.0,LoL+,"Riot Games, Inc",게임커뮤니티,5.78
19,-2.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-1.15
20,3.0,가디언 테일즈,Kakao Games Corp.,롤플레잉게임,10.61
21,-5.0,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-2.39
22,-3.0,좀비고등학교,AWESOMEPIECE,아케이드게임,3.38
23,-5.0,캔디크러쉬사가,King,캐주얼게임,-1.14
24,-3.0,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,0.78
25,-1.0,무한의 계단,NFLY STUDIO,아케이드게임,4.22
26,,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,0.12
27,-2.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-2.99
28,-1.0,AFK 아레나,LilithGames,롤플레잉게임,-4.47
29,,궁수의 전설,Habby,액션게임,-3.36
30,2.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,6.75
1,,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-1.12
2,,브롤스타즈,Supercell,액션게임,-4.49
3,4.0,Among Us,Innersloth LLC,액션게임,74.08
4,-1.0,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-0.15
5,-1.0,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,0.05
6,-1.0,ROBLOX,Roblox Corporation,어드벤처게임,-0.49
7,1.0,Minecraft,Mojang,액션게임,-0.63
8,1.0,애니팡4,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,2.47
9,-3.0,바람의나라: 연,NEXON Company,롤플레잉게임,-15.44
10,,Pokémon GO,"Niantic, Inc.",어드벤처게임,-3.41
11,,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-0.4
12,,클래시 로얄,Supercell,전략게임,-1.14
13,2.0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,1.0
14,,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,-0.08
15,-2.0,클래시 오브 클랜,Supercell,전략게임,-0.49
16,,꿈의 집 (Homescapes),Playrix,캐주얼게임,-1.23
17,,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,3.27
18,1.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-1.62
19,-1.0,LoL+,"Riot Games, Inc",게임커뮤니티,-3.32
20,1.0,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.68
21,2.0,캔디크러쉬사가,King,캐주얼게임,0.04
22,-2.0,가디언 테일즈,Kakao Games Corp.,롤플레잉게임,-5.11
23,1.0,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.06
24,-2.0,좀비고등학교,AWESOMEPIECE,아케이드게임,-4.93
25,,무한의 계단,NFLY STUDIO,아케이드게임,-0.21
26,,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,0.54
27,,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-2.28
28,,AFK 아레나,LilithGames,롤플레잉게임,-3.47
29,,궁수의 전설,Habby,액션게임,-5.94
